,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
323,0,1,0,0,3,5,0,1,0,3
324,0,1,0,1,1,2,6,5,2,7
325,0,1,0,1,1,2,6,5,2,7
326,0,1,2,3,4,5,0,1,1,3
327,0,1,2,3,4,5,0,1,1,3
328,0,1,2,3,4,5,0,1,1,3
329,0,1,2,3,4,5,0,1,1,2
330,0,1,0,0,3,4,1,6,8,9
331,0,1,0,0,3,5,0,1,1,4
332,0,0,1,2,2,1,3,3,5,8
333,0,1,0,0,3,5,0,1,3,3
334,0,1,0,0,3,5,0,1,3,3
335,0,0,1,2,0,1,4,2,7,0
336,0,0,2,3,4,3,5,7,6,6
337,0,1,2,3,4,5,0,1,3,2
338,0,0,2,3,4,5,5,0,4,2
339,0,0,2,3,0,0,5,0,4,5
340,0,0,2,3,0,0,5,0,4,5
341,0,0,2,3,0,0,5,0,4,5
342,0,1,0,1,1,2,6,5,2,7
343,0,1,0,1,1,2,6,5,2,7
344,0,1,0,1,1,2,6,5,2,7
345,0,0,1,3,0,5,0,0,1,2
346,0,1,0,0,3,5,2,4,5,8
347,0,1,0,0,3,5,2,4,5,8
348,0,1,0,0,3,5,2,4,5,8
349,0,1,0,0,3,5,2,4,1,8
350,0,1,0,1,1,3,2,4,6,6
351,0,0,2,3,4,0,5,0,4,2
352,0,1,2,0,4,5,0,1,1,4
353,0,1,2,0,4,5,0,1,1,4
354,0,1,2,0,4,5,0,1,1,4
355,0,1,2,0,4,5,0,1,1,4
356,0,1,0,0,3,5,0,1,1,3
357,0,1,0,0,3,5,0,4,1,3
358,0,0,1,2,0,1,4,2,7,0
359,0,0,1,2,2,1,4,2,7,0
360,0,1,2,3,4,3,5,7,6,4
361,0,1,2,3,4,3,5,7,6,4
362,0,0,2,3,4,3,5,7,4,4
363,0,0,2,3,4,3,5,7,6,4
364,0,0,2,3,0,5,0,0,1,2
365,0,0,2,3,0,0,2,0,4,8
366,0,0,2,3,4,0,5,0,4,6
367,0,0,2,3,0,0,4,0,5,2
368,0,0,1,2,0,1,4,2,7,2
369,0,0,2,3,4,0,5,7,6,6
370,0,0,1,2,0,1,4,0,5,2
371,0,1,0,0,3,5,0,4,5,2
372,0,0,2,3,4,5,0,1,0,2
373,0,1,0,0,3,2,6,1,3,1
374,0,1,0,0,3,4,0,1,3,1
375,0,0,2,3,4,3,2,3,5,8
376,0,1,0,0,3,5,0,1,0,3
377,0,1,0,1,1,2,6,5,2,7
378,0,1,0,1,1,3,6,1,6,4
379,0,0,2,3,0,0,4,0,1,5
380,0,0,2,3,0,0,4,0,1,5
381,0,0,2,3,0,0,4,0,1,5
382,0,0,1,0,3,5,0,1,1,8
383,0,1,0,1,1,2,6,5,2,7
384,0,1,0,1,3,3,2,4,3,1
385,0,1,2,3,4,3,2,7,6,4
386,0,0,2,3,4,5,2,3,1,8
387,0,0,1,2,2,1,3,0,5,2
388,0,0,1,2,2,1,3,4,5,2
389,0,1,1,0,3,4,1,6,8,9
390,0,0,2,3,2,3,3,3,6,8
391,0,0,2,0,3,5,0,1,1,3
392,0,0,2,0,3,5,0,1,1,3
393,0,1,0,0,3,5,0,1,3,3
394,0,0,1,2,2,1,3,2,7,0
395,0,0,1,2,0,1,4,0,7,2
396,0,1,2,3,4,5,0,7,0,4
397,0,1,2,3,4,3,5,7,0,4
398,0,1,2,3,4,3,5,7,0,4
399,0,1,2,3,4,3,5,7,0,4
400,0,0,2,3,4,3,5,7,0,4
401,0,0,2,3,4,3,5,7,0,4
402,0,0,2,3,4,3,5,7,0,4
403,0,0,2,3,4,5,0,1,1,3
404,0,0,2,3,0,0,5,0,4,5
405,0,0,1,2,0,1,4,2,7,2
406,0,0,2,3,0,5,4,0,1,8
407,0,0,2,3,4,3,5,7,0,4
408,0,0,1,0,3,5,0,4,5,8
409,0,1,0,0,3,4,1,6,8,9
410,0,0,1,0,0,5,0,1,1,3
411,0,1,1,0,2,5,2,4,5,8
412,0,1,1,0,2,5,2,4,5,8
413,0,0,2,3,4,5,0,0,5,2
414,0,0,2,3,4,0,5,0,1,2
415,0,0,2,3,4,0,5,7,4,6
416,0,1,2,1,4,3,5,7,6,6
417,0,1,2,3,4,3,5,7,6,6
418,0,0,1,2,0,1,4,2,7,0
419,0,0,1,2,0,1,4,3,7,8
420,0,1,2,3,4,3,2,7,6,4
421,0,0,1,2,2,3,2,3,5,8
422,0,0,1,2,2,3,2,3,5,8
